test_code,model,baseline_label,baseline_index,variable,hr,ci_lower,ci_upper,n
A1C,bayesian,3,3,cv,1.2319749903163069,0.9255899913898358,1.6397782937192762,666
ALB,bayesian,3,3,mu,0.581831767782325,0.5453540229301614,0.6207494430531736,17730
ALB,bayesian,3,3,cv,1.2413116681771,1.170297359564055,1.3166351653793322,17730
ALK,bayesian,3,3,mu,1.3324909108265937,1.2697791086529415,1.3982999210934228,17716
ALK,bayesian,3,3,cv,1.2679966558510722,1.2009363152656685,1.3388016490231835,17716
ALT,bayesian,3,3,mu,0.8066247993757489,0.7457811131117392,0.8724323471443052,16298
ALT,bayesian,3,3,cv,1.3064314746714665,1.237751009229622,1.3789228894061285,16298
AST,bayesian,3,3,mu,0.925254114153252,0.8658721422977358,0.9887085332087576,15986
AST,bayesian,3,3,cv,1.230387784320693,1.1549359599732878,1.3107688670812516,15986
BIL,bayesian,3,3,mu,0.9306174084654012,0.8725810524079893,0.9925138284276244,17108
BIL,bayesian,3,3,cv,1.061917220875118,0.998062528532762,1.1298572501754007,17108
BILD,bayesian,3,3,mu,1.1484879424310943,0.9674759029872084,1.3633668289173386,1231
BILD,bayesian,3,3,cv,1.1110525304854566,0.9287058034781728,1.3292021228627429,1231
BUN,bayesian,3,3,mu,1.2912256610236814,1.1973417846017105,1.392470996275011,18925
BUN,bayesian,3,3,cv,1.0869776772888735,1.0127499206051362,1.1666458292273525,18925
CA,bayesian,3,3,mu,0.9146914980644858,0.8632160990910708,0.969236483787108,22043
CA,bayesian,3,3,cv,1.254029720512173,1.1782995126676958,1.334627166540585,22043
CHOL,bayesian,3,3,mu,0.664782463408089,0.605472903237085,0.7299017367947818,8813
CHOL,bayesian,3,3,cv,1.150550378669772,1.054744227438999,1.255058941703206,8813
CL,bayesian,3,3,mu,0.887719000995323,0.8408959049082573,0.9371493191111578,22332
CL,bayesian,3,3,cv,1.3399959473603211,1.259293467761648,1.4258702875142235,22332
CO2,bayesian,3,3,mu,0.8721444165598835,0.8261392140293463,0.9207115101421152,22925
CO2,bayesian,3,3,cv,1.2475107008617057,1.177298866024696,1.321909834177839,22925
CRE,bayesian,3,3,mu,0.986359512157982,0.908694391315345,1.0706625863688246,20646
CRE,bayesian,3,3,cv,1.2465805093305498,1.1695922484268269,1.3286365127102957,20646
FER,bayesian,3,3,mu,1.15958740248146,0.957208142571756,1.4047550205548949,1113
FER,bayesian,3,3,cv,1.1469788751212755,0.9361935563964918,1.4052228099477622,1113
GLU,bayesian,3,3,mu,1.1892457266393814,1.1195897190828594,1.2632354283215417,19678
GLU,bayesian,3,3,cv,1.274376204318889,1.2006828837684136,1.3525925388701223,19678
HB,bayesian,3,3,mu,0.7486034385282653,0.6797939707465285,0.8243778737268302,14953
HB,bayesian,3,3,cv,1.4580022748557149,1.3625591390500795,1.5601309128985323,14953
HCT,bayesian,3,3,mu,0.8350334516974591,0.7671989616778242,0.9088657574938004,14640
HCT,bayesian,3,3,cv,1.364186138806036,1.2736169588461883,1.461195855146641,14640
HDL,bayesian,3,3,mu,0.949305849469616,0.8249812343765692,1.092366175478214,7658
HDL,bayesian,3,3,cv,1.3527637567918764,1.2079928992822375,1.5148845517030751,7658
HSCRP,bayesian,3,3,mu,1.4846403615686052,1.2362876700856502,1.7828835929795,1884
HSCRP,bayesian,3,3,cv,1.535135182687951,1.2440430871353496,1.8943395558372411,1884
IGAP,bayesian,3,3,mu,1.2031020723317374,1.1420540532198808,1.267413387630823,23257
IGAP,bayesian,3,3,cv,0.9364491170115372,0.8875424447173367,0.9880507168656856,23257
K,bayesian,3,3,mu,1.171625209260843,1.1102214856302004,1.236425027566746,22572
K,bayesian,3,3,cv,1.1488894640740377,1.08594276343223,1.2154848718624045,22572
LD,bayesian,3,3,mu,1.072548909284729,0.8056195852485981,1.427921048434892,518
LD,bayesian,3,3,cv,0.8031957012355326,0.5924582141567112,1.0888925481461842,518
LYMPH,bayesian,3,3,mu,0.8531936546382924,0.7807237069586154,0.9323905574108978,9703
LYMPH,bayesian,3,3,cv,1.3817364438802278,1.288153755176101,1.48211779275198,9703
MCH,bayesian,3,3,mu,0.9585341094453868,0.8983601342740509,1.0227386589373946,15095
MCH,bayesian,3,3,cv,1.3921469899292658,1.316712254493895,1.4719033979934004,15095
MCHC,bayesian,3,3,mu,0.7729344982978957,0.7167520844338542,0.8335207551309934,15121
MCHC,bayesian,3,3,cv,1.280803347808406,1.19956575823876,1.367542549868872,15121
MCV,bayesian,3,3,mu,1.1385223065629142,1.0636280217431335,1.2186901962370251,15119
MCV,bayesian,3,3,cv,1.3799466533211615,1.3030210783918936,1.4614136314374764,15119
MG,bayesian,3,3,mu,1.0163219210378107,0.8321696950398264,1.241225501647897,719
MG,bayesian,3,3,cv,0.9683953478008824,0.7931249350744952,1.1823982681294831,719
MONOC,bayesian,3,3,mu,1.2585950661909795,1.1600400751537685,1.36552311818219,9936
MONOC,bayesian,3,3,cv,1.0850445465497172,1.0045700587720705,1.1719657157972363,9936
